video_duration_sec,verified_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
59,0,343296.0,19425.0,241.0,1.0,0.0
32,0,140877.0,77355.0,19034.0,1161.0,684.0
31,0,902185.0,97690.0,2858.0,833.0,329.0
25,0,437506.0,239954.0,34812.0,1234.0,584.0
19,0,56167.0,34987.0,4110.0,547.0,152.0
35,0,336647.0,175546.0,62303.0,4293.0,1857.0
16,0,750345.0,486192.0,193911.0,8616.0,5446.0
41,0,547532.0,1072.0,50.0,22.0,11.0
50,0,24819.0,10160.0,1050.0,53.0,27.0
45,1,931587.0,171051.0,67739.0,4104.0,2540.0
47,0,695641.0,238030.0,23062.0,1719.0,378.0
30,0,482046.0,168107.0,19474.0,3282.0,532.0
51,0,700081.0,434565.0,97995.0,2408.0,1411.0
20,0,929685.0,497236.0,154917.0,1225.0,805.0
42,0,937231.0,237318.0,81496.0,1867.0,960.0
10,0,746186.0,193.0,29.0,2.0,0.0
11,0,923007.0,67714.0,17710.0,845.0,536.0
27,0,467702.0,40435.0,2804.0,495.0,327.0
11,0,168594.0,105245.0,37929.0,1723.0,694.0
34,0,249935.0,20437.0,2240.0,212.0,70.0
27,0,550259.0,30528.0,6704.0,258.0,88.0
20,0,510989.0,162612.0,26745.0,2507.0,1283.0
52,0,60096.0,34245.0,11345.0,219.0,77.0
54,0,750942.0,136252.0,27119.0,2637.0,1206.0
39,0,353722.0,39844.0,10399.0,181.0,54.0
33,0,506061.0,288150.0,39351.0,2405.0,1134.0
10,0,50892.0,7976.0,2903.0,125.0,78.0
22,0,812056.0,329068.0,3515.0,5200.0,1108.0
21,0,677855.0,332569.0,97961.0,5531.0,2386.0
48,0,74323.0,20940.0,3678.0,274.0,63.0
55,0,573518.0,324003.0,125931.0,4737.0,2918.0
21,0,376637.0,226700.0,69329.0,2060.0,278.0
23,0,781955.0,407367.0,65029.0,4274.0,2240.0
33,0,822795.0,390001.0,125607.0,4012.0,2055.0
10,0,418750.0,133645.0,27821.0,2387.0,206.0
12,0,535825.0,73157.0,1642.0,1573.0,97.0
29,0,924262.0,465230.0,37874.0,8124.0,635.0
30,0,489267.0,110476.0,17911.0,2585.0,90.0
20,0,879368.0,572608.0,153090.0,5639.0,2542.0
20,0,135682.0,50881.0,7713.0,944.0,324.0
25,0,289935.0,3484.0,1092.0,20.0,3.0
34,0,903941.0,409234.0,32446.0,8390.0,1390.0
46,0,704320.0,161850.0,19294.0,3077.0,566.0
5,0,609453.0,262718.0,80347.0,826.0,99.0
31,0,790372.0,24067.0,4167.0,434.0,236.0
34,0,750369.0,271101.0,65378.0,1482.0,426.0
17,0,630556.0,67394.0,16130.0,1197.0,720.0
52,0,853104.0,45589.0,16274.0,758.0,163.0
18,0,636117.0,360722.0,12659.0,105.0,65.0
36,0,658349.0,231224.0,89272.0,5131.0,1426.0
17,0,472376.0,210080.0,37155.0,4600.0,2697.0
53,0,984793.0,453657.0,15329.0,521.0,30.0
40,0,301749.0,27047.0,1544.0,230.0,18.0
54,0,971357.0,111164.0,13178.0,2338.0,779.0
29,0,302525.0,23738.0,673.0,314.0,118.0
39,0,578064.0,269616.0,66922.0,6075.0,3321.0
25,0,205584.0,49255.0,5072.0,1186.0,223.0
12,0,422117.0,112780.0,26052.0,1038.0,380.0
49,0,265598.0,59672.0,4952.0,815.0,400.0
13,0,307222.0,13123.0,4689.0,130.0,63.0
34,0,962886.0,174445.0,10848.0,619.0,162.0
32,0,29060.0,1219.0,171.0,3.0,1.0
56,0,952372.0,10191.0,114.0,223.0,55.0
37,0,986657.0,537842.0,199478.0,4721.0,2891.0
44,0,561388.0,152488.0,26474.0,2668.0,291.0
30,0,773587.0,279571.0,16917.0,3617.0,1331.0
26,0,71676.0,45324.0,6977.0,503.0,258.0
55,0,663764.0,113266.0,31512.0,2325.0,564.0
31,0,170467.0,86546.0,19813.0,721.0,447.0
5,0,988418.0,344391.0,78618.0,239.0,22.0
27,0,345192.0,63925.0,7783.0,99.0,57.0
43,0,755590.0,128952.0,25210.0,1750.0,498.0
48,0,611144.0,46826.0,12186.0,503.0,44.0
34,0,929654.0,616498.0,97225.0,588.0,176.0
7,0,208229.0,115949.0,2253.0,2058.0,149.0
17,0,248398.0,139777.0,17309.0,1639.0,209.0
31,1,677288.0,214708.0,66446.0,2167.0,1428.0
8,0,726718.0,241278.0,28762.0,1233.0,87.0
13,0,857998.0,468810.0,183219.0,5830.0,2431.0
48,0,589041.0,144226.0,51973.0,3362.0,1597.0
31,0,604898.0,288298.0,95777.0,3225.0,899.0
20,0,737901.0,205717.0,4645.0,666.0,12.0
56,0,680252.0,177711.0,1946.0,3223.0,9.0
31,0,250243.0,45005.0,9872.0,705.0,240.0
28,0,5279.0,2670.0,16.0,12.0,7.0
37,0,364943.0,212815.0,6149.0,906.0,4.0
51,0,865320.0,139937.0,49470.0,2574.0,1504.0
51,0,874793.0,306997.0,29763.0,5262.0,2006.0
24,0,468077.0,194366.0,37758.0,4319.0,131.0
57,0,539826.0,132637.0,16501.0,444.0,60.0
55,0,309589.0,170284.0,54865.0,2735.0,754.0
39,0,572084.0,93187.0,4911.0,1475.0,9.0
26,0,879769.0,107260.0,27447.0,2288.0,1257.0
37,0,436875.0,260329.0,41775.0,4663.0,1947.0
43,0,501354.0,248235.0,64155.0,3883.0,2110.0
50,0,168449.0,90690.0,16615.0,1962.0,383.0
32,0,200060.0,106959.0,32426.0,2564.0,1500.0
16,0,423164.0,186423.0,55246.0,2404.0,1430.0
57,0,182650.0,88712.0,28801.0,434.0,95.0
49,0,195432.0,27339.0,3483.0,433.0,200.0
9,0,90931.0,51974.0,3568.0,970.0,156.0
43,0,920337.0,567807.0,214550.0,4524.0,2850.0
33,0,995247.0,505255.0,156842.0,9099.0,3081.0
23,0,956314.0,572469.0,154525.0,2902.0,298.0
53,0,328659.0,165642.0,46318.0,337.0,135.0
49,1,631075.0,284311.0,97442.0,1163.0,354.0
60,0,228358.0,19295.0,2332.0,270.0,35.0
51,0,276059.0,97689.0,38967.0,2376.0,507.0
53,0,351066.0,58438.0,19119.0,39.0,0.0
41,0,530697.0,30862.0,8161.0,278.0,166.0
49,0,2883.0,1242.0,348.0,11.0,2.0
56,0,426268.0,155933.0,50782.0,3414.0,1935.0
11,0,660561.0,322446.0,120347.0,5519.0,3449.0
40,0,150706.0,72838.0,9413.0,454.0,1.0
47,0,965051.0,567073.0,67201.0,3940.0,2550.0
24,0,311719.0,71173.0,6362.0,496.0,163.0
50,0,56142.0,27239.0,1540.0,390.0,172.0
48,1,915553.0,272536.0,78299.0,7.0,3.0
20,0,593281.0,332025.0,103892.0,7769.0,2486.0
59,0,169697.0,12958.0,589.0,314.0,120.0
53,0,812513.0,523168.0,20023.0,7565.0,2809.0
34,0,743385.0,414665.0,52389.0,1427.0,107.0
58,0,726835.0,293637.0,31598.0,3868.0,1854.0
43,0,950500.0,146636.0,25913.0,1956.0,956.0
38,0,25771.0,4775.0,1771.0,77.0,26.0
35,0,660194.0,349323.0,30579.0,7102.0,1335.0
50,0,848448.0,207258.0,56105.0,3272.0,275.0
18,0,56312.0,36854.0,6211.0,512.0,254.0
10,0,263806.0,8528.0,2373.0,27.0,10.0
19,0,951464.0,365819.0,101090.0,752.0,387.0
40,0,907591.0,291689.0,65458.0,1736.0,853.0
40,0,285004.0,33069.0,11653.0,572.0,71.0
40,0,611518.0,43431.0,8890.0,196.0,45.0
18,0,227262.0,34194.0,565.0,456.0,74.0
59,0,216296.0,92543.0,22041.0,270.0,70.0
34,0,714428.0,445887.0,67205.0,5983.0,2559.0
22,0,915340.0,459193.0,53596.0,7729.0,1440.0
29,0,830574.0,424374.0,150314.0,7366.0,2892.0
48,0,42647.0,17703.0,5027.0,375.0,155.0
60,0,697308.0,190336.0,65540.0,3019.0,1572.0
16,1,775229.0,42657.0,1636.0,835.0,247.0
26,0,242727.0,4464.0,620.0,62.0,26.0
12,0,64994.0,37401.0,4768.0,246.0,100.0
15,0,338032.0,174028.0,58508.0,3167.0,834.0
26,0,405315.0,241311.0,12754.0,5667.0,1200.0
28,0,443793.0,62808.0,18380.0,671.0,251.0
23,0,754822.0,441008.0,28597.0,7603.0,4094.0
20,0,612397.0,69987.0,27953.0,910.0,606.0
50,0,998792.0,151348.0,48830.0,2843.0,1301.0
51,0,765069.0,301210.0,66991.0,278.0,156.0
54,0,112830.0,38543.0,526.0,107.0,3.0
23,0,762699.0,352035.0,26264.0,7098.0,458.0
24,0,645348.0,25962.0,6713.0,211.0,44.0
16,0,379005.0,204577.0,49432.0,2862.0,1858.0
15,0,894337.0,129925.0,3678.0,1010.0,304.0
58,0,712536.0,216805.0,47945.0,4486.0,1734.0
9,0,148492.0,70227.0,14962.0,1264.0,841.0
33,0,433310.0,102440.0,34276.0,1753.0,1030.0
50,0,649471.0,317456.0,42349.0,1072.0,46.0
5,0,40208.0,8018.0,1029.0,16.0,0.0
38,0,346555.0,70156.0,12343.0,605.0,94.0
20,0,812447.0,343371.0,79962.0,3608.0,528.0
6,0,391812.0,30875.0,1706.0,165.0,76.0
28,0,468758.0,78841.0,12464.0,1271.0,681.0
35,0,642888.0,21908.0,7009.0,412.0,122.0
35,0,633270.0,6077.0,1018.0,101.0,60.0
17,0,734203.0,296340.0,112802.0,6795.0,2745.0
44,0,939399.0,144236.0,31119.0,906.0,104.0
8,0,494881.0,32805.0,8934.0,534.0,198.0
27,1,886215.0,521651.0,114330.0,10943.0,4219.0
47,1,648343.0,233325.0,66078.0,4728.0,2122.0
12,0,56430.0,34026.0,4691.0,0.0,0.0
